seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
12,Pspline-SGD,0.3,8800,5,0.171665668487549,0.15551693170428113,1.2291370251654303,1.2254510471623612,0.1470663642991924,0.15187811891307004,0.19260498374975463,0.15439062115097335,0.16599379955776916
12,Pspline-SGD,0.3,8900,5,0.169137716293335,0.15225154905153626,1.2337369423105298,1.2335515856800972,0.11148951932593229,0.15010529454957847,0.19148164336956916,0.15626297848312448,0.16441779840572057
12,Pspline-SGD,0.3,9000,5,0.170375347137451,0.17417654462147347,1.246196878606563,1.2475953482004523,0.12586405978343818,0.14849260124089528,0.19061137042296858,0.15731719099002633,0.1630955521957248
12,Pspline-SGD,0.3,9100,5,0.169277906417847,0.27958600297934116,1.2532787125697373,1.2486480347862918,0.12583292427197776,0.14671747486398515,0.1896657475806593,0.15775283012975977,0.16191250023541373
12,Pspline-SGD,0.3,9200,5,0.1698317527771,0.1393823610245482,1.2335567238899794,1.2317742164387664,0.15156761567557145,0.14510005711057272,0.18885413992148367,0.1589616288208035,0.1609762520801835
12,Pspline-SGD,0.3,9300,5,0.169185400009155,0.15077957541538972,1.2381754384240569,1.2365022373694177,0.1317919433255386,0.14321763208561109,0.18802592563533688,0.16053427180255314,0.15990560397523554
12,Pspline-SGD,0.3,9400,5,0.171602010726929,0.10987337703334282,1.253372521386268,1.2466046793205965,0.15238860962423298,0.1410698421639597,0.18720369820283014,0.16137211903982662,0.1589103095068058
12,Pspline-SGD,0.3,9500,5,0.16819429397583,0.1394245321522205,1.2354562046251412,1.2363437166267905,0.15899115293738833,0.13857088098673742,0.18638710031217487,0.16213114875222961,0.1584477901505235
12,Pspline-SGD,0.3,9600,5,0.169794797897339,0.14727179021303788,1.2004460103085675,1.2082891780830771,0.154930528767357,0.13669336514306096,0.1861399383433378,0.16367134928141586,0.1579351092361788
12,Pspline-SGD,0.3,9700,5,0.176505327224731,0.18840618068290063,1.2046375121125863,1.20285457267232,0.14353076784062,0.13485912328418512,0.18599712623980313,0.1651645688734758,0.15726486919144245
12,Pspline-SGD,0.3,9800,5,0.172807693481445,0.13503415175539082,1.2111695005304348,1.204554485754788,0.1507199616085184,0.13360036653118798,0.18624175915686103,0.16699198479640412,0.15637565819428087
12,Pspline-SGD,0.3,9900,5,0.172001123428345,0.11773516828273942,1.1951630792927666,1.1901261731825319,0.23090747911999682,0.13246994112638,0.18656540361794224,0.1684398237554908,0.15506855664127556
12,Pspline-SGD,0.3,10000,5,0.175792694091797,0.14306708111560112,1.2117029629733462,1.2123420539803331,0.15634222571257766,0.13124426200998882,0.186754245749458,0.1697522120440451,0.1543586159110762
12,Pspline-SGD,0.3,10100,5,0.173162460327148,0.22000886066969444,1.187632619397432,1.1876817193316447,0.22228371994394833,0.13052571038706035,0.18742041374317106,0.17120491523345394,0.1540905747025297
12,Pspline-SGD,0.3,10200,5,0.172951936721802,0.19486298088334317,1.1933058020298797,1.192627890124731,0.17596356907558447,0.13006213620628354,0.18815376115915824,0.17312532452607748,0.15385739497030088
12,Pspline-SGD,0.3,10300,5,0.173141717910767,0.1808857604231959,1.1878847001044281,1.1792417564555553,0.1412253170333257,0.12930321067561218,0.18866174495047933,0.17521642422582237,0.15312185503850542
12,Pspline-SGD,0.3,10400,5,0.175768852233887,0.16921503259519888,1.174644868934493,1.1812841345264224,0.20661051636701275,0.12894134946756555,0.18954856576214224,0.17748093335424175,0.1518433718224815
12,Pspline-SGD,0.3,10500,5,0.174599885940552,0.16904677867149337,1.1808659892666666,1.1864584844267767,0.28215721287378387,0.12830035621040808,0.19025364819459686,0.1793442826208074,0.15151441746074432
12,Pspline-SGD,0.3,10600,5,0.174387454986572,0.18314147342255468,1.1811594053782977,1.1908391502434532,0.23709001874002197,0.12758153854579488,0.19084096983266136,0.18138285446876745,0.15171736609075856
12,Pspline-SGD,0.3,10700,5,0.178797721862793,0.1933591538906507,1.169841494420444,1.1818729264755035,0.3014816933541647,0.12693891264598203,0.19156118759726587,0.1835801775288671,0.15200158480501644
12,Pspline-SGD,0.3,10800,5,0.172585248947144,0.1935611794398063,1.2123131005001144,1.2216579592940746,0.2206167597050967,0.1263012221368983,0.19224896127030852,0.18574533572354288,0.1521320867238482
12,Pspline-SGD,0.3,10900,5,0.174376487731934,0.19913386203386102,1.1931975771676033,1.2112004872345423,0.2165261266837846,0.12564119226995046,0.19253368077415128,0.18757823022189718,0.15201932685846747
